feature,importance
Days for shipment (scheduled),0.22730833930537733
Shipping Mode_Standard Class,0.18854951008476237
Shipping Mode_Second Class,0.04238451126902728
Customer Segment_Home Office,0.0355926820528282
Customer Segment_Corporate,0.034384135100333016
Shipping Mode_Same Day,0.0339710823161215
Customer State_PR,0.013270175182926194
Customer State_CA,0.010537359159225887
Category Name_Cleats,0.009834062230611507
Customer State_NY,0.00948130037872031
Category Name_Men's Footwear,0.009391508694284966
Category Name_Indoor/Outdoor Games,0.009317862973764768
Category Name_Water Sports,0.00853395199599025
Customer State_TX,0.008502927794513336
Department Name_Fan Shop,0.008499310927106984
Category Name_Fishing,0.008375457489701425
Category Name_Camping & Hiking,0.00809018284463381
Customer State_FL,0.007191164708183974
Customer State_IL,0.007165359937323831
Customer State_OH,0.006921147763064853
Customer State_PA,0.006890239503511695
Category Name_Women's Apparel,0.0067985556907466235
Department Name_Golf,0.006590079982434928
Customer State_MI,0.0064782280682867234
Category Name_Shop By Sport,0.0060367806865092135
Department Name_Outdoors,0.005865266459565695
Customer State_NJ,0.005797376775474525
Order Region_Southeast Asia,0.005700177093546876
Order Region_Oceania,0.0056780386015308154
Order Region_Western Europe,0.00564151527703137
Order Region_South America,0.005501827443436406
Department Name_Footwear,0.005491607581541473
Market_Pacific Asia,0.005441492054361109
Order Region_South Asia,0.005411817638115384
Order Region_Central America,0.005405363849716718
Customer State_GA,0.005243254567900592
Customer State_AZ,0.005182585247445133
Order Region_Eastern Asia,0.005159610037444045
Order Region_Northern Europe,0.005129614353261726
Customer State_MD,0.005128133186072236
Market_Europe,0.005102572176083339
Category Name_Electronics,0.005068063752581991
Category Name_Cardio Equipment,0.0050367736474458595
Order Region_Southern Europe,0.005017728168915261
Market_USCA,0.004894156538636041
Order Region_West of USA,0.004857548938817527
Order Region_US Center,0.004810726596111895
Market_LATAM,0.004729059089151584
Order Region_West Asia,0.004635272309280195
Customer State_VA,0.004581041885702629
Customer State_NC,0.004318032564630705
Customer State_MA,0.00427386022818535
Order Region_South of  USA,0.0042052216371924215
Order Region_East of USA,0.004161679008847639
Customer State_OR,0.004137772073672588
Customer State_NV,0.004061311779432189
Customer State_HI,0.0037678044539253856
Customer State_MO,0.0035960756335337877
Order Region_North Africa,0.0035852419418930595
Order Region_West Africa,0.0035734105204984533
Customer State_CT,0.0033056787249496284
Order Region_Eastern Europe,0.003289982417637886
Category Name_Golf Balls,0.0032734330185222272
Customer State_LA,0.0032707510326503786
Customer State_CO,0.0031061577724250675
Customer State_TN,0.0030827534688773976
Customer State_WA,0.003001730633012754
Order Region_Caribbean,0.0029769693352851893
Customer State_UT,0.0029768433736598724
Order Region_East Africa,0.0028221068767668067
Order Region_Central Africa,0.002684263268706637
Category Name_Trade-In,0.002609370552471024
Category Name_Golf Gloves,0.0025816441860222997
Department Name_Fitness,0.002495766073373241
Category Name_Girls' Apparel,0.002365004823075155
Customer State_WI,0.0023373773357382426
Order Region_Southern Africa,0.0023247543656670336
Customer State_NM,0.0023224945782121683
Customer State_SC,0.0022543503160407236
Customer State_MN,0.0022519620074688343
Customer State_DC,0.002166406304894226
Customer State_IN,0.002162457528749111
Customer State_KS,0.002040647464120159
Customer State_KY,0.001779394562129256
Department Name_Discs Shop,0.0016825251285670557
Category Name_Hunting & Shooting,0.0016613172045899167
Category Name_Golf Shoes,0.0015897025915617008
Category Name_Golf Apparel,0.0015868225308741685
Category Name_Children's Clothing,0.0014824635111165161
Order Region_Central Asia,0.0014353895271635247
Category Name_Women's Clothing,0.0013910835730585396
Category Name_Baseball & Softball,0.001376679498669536
Customer State_RI,0.001309671242734014
Category Name_Hockey,0.0012896127165514311
Customer State_WV,0.0012652607772945617
Customer State_DE,0.0012274318042536025
Department Name_Technology,0.0012222416475456185
Category Name_Crafts,0.001211012497699579
Category Name_Boxing & MMA,0.0011468951112254364
Customer State_OK,0.00114552538575333
Customer State_ND,0.0011237991855274666
Category Name_Toys,0.0011055054580015621
Category Name_Kids' Golf Clubs,0.0010369742226254278
Category Name_Men's Golf Clubs,0.0010125580727030597
Category Name_Tennis & Racquet,0.0009943441306111654
Category Name_Garden,0.0009926880470653508
Category Name_Video Games,0.0009918178431314146
Category Name_DVDs,0.000958815200006488
Category Name_Fitness Accessories,0.0009573811469741224
Category Name_Baby,0.0009292395595935834
Category Name_Music,0.0008243019336333289
Category Name_Lacrosse,0.0008226966797927172
Customer State_AR,0.0008175953209243783
Category Name_Consumer Electronics,0.0007757896238576197
Category Name_Computers,0.0007438350654411572
Customer State_ID,0.0007112403977595717
Category Name_CDs,0.0007018435789109723
Category Name_Women's Golf Clubs,0.0006981940196961097
Category Name_Men's Clothing,0.000689101048639679
Department Name_Pet Shop,0.0006293016006611708
Department Name_Book Shop,0.0006275025732917104
Category Name_Cameras,0.0006254679818839492
Category Name_Books,0.0006177005395089241
Category Name_Sporting Goods,0.0006157752828403976
Category Name_Pet Supplies,0.0006101451972478567
Category Name_Soccer,0.0005096098382775894
Department Name_Health and Beauty,0.00045223109004718806
Category Name_Health and Beauty,0.00044973706582497977
Customer State_IA,0.00044450752503911106
Customer State_MT,0.00040539938949454233
Category Name_Strength Training,0.00037247627860287623
Category Name_Golf Bags & Carts,0.0002833617686047323
Category Name_As Seen on  TV!,0.00027096946690356776
Customer State_AL,0.0002082072347875093
Category Name_Basketball,0.00018702619415145532
Customer State_95758,9.976417850523563e-06
